DS ERAS LAS	
CL POU DE LES ROSES	Calle Pou de les Roses
CL VILLAVIEJA	Calle Villavieja
CL SALTADORA	Calle de la Saltadora
CL SAN ABDON Y SAN SENEN	Calle de los Santos Abdón y Senén
CM CEMENTERIO	Camí del Cementeri
CL DISEMINADOS	Carrer Diseminados
CL HONDA	Carrer Fondo
CL MAJOR	Carrer Major
CL HORNO	Carrer Major
CL MESTRE ANGEL ORTEGA	Carrer Mestre Ángel Ortega
CL REMURO	Carrer Remur
CL ENMIG	Carrer d'Enmig
CL BENIFAIXO	Carrer de Benifaixó
CL COLON	Carrer de Colón
CL IGLESIA	Carrer de L'Església
CL LORETO A	Carrer de Loreto
CL DE PONC DE TORRELAS	Carrer de Ponç de Torrellas
CL PONÇ DE TORRELLAS	Carrer de Ponç de Torrellas
CL SAN IGNACIO	Carrer de Sant Ignaci
CL SAN PEDRO	Carrer de Sant Pere
CL ADYUTORIO	Carrer de l'Adjutori
CL AGUA	Carrer de l'Aigua
CL ESTRELLA	Carrer de l'Estrella
PJ DEL BARRANC DE LA FONT	Carrer de la Font dels Tres Canons
CL LLIBERTAT	Carrer de la Llibertat
CL PAU	Carrer de la Pau
CL CAROLINAS	Carrer de les Carolines
CL CORREGUDES LES	Carrer de les Corregudes
CL LES ERES	Carrer de les Eres
CL CALVARIO	Carrer del Calvari
CL CASTELL DE MIRAVET	Carrer del Castell de Miravet
CL CATEDRATIC BORT	Carrer del Catedràtic Bort
CL DR MATEU	Carrer del Doctor Mateu
CL GUITARRISTA FORTEA	Carrer del Guitarrista Fortea
CL MAR	Carrer del Mar
CL MESTRE RAMBLA	Carrer del Mestre Rambla
CL MUNICIPIO	Carrer del Municipi
CL PADRE CORBATO	Carrer del Pare Corbató
CL PORTAL	Carrer del Portal
CL TREBALL	Carrer del Treball
CL SANTOS MARTIRES	Carrer dels Sants Màrtirs
CR VALL D ALBA	Carretera Vall D Alba
MS SUBARRA	Masies Subarra
PD BASETES	Partida Basetes
PD BENASQUES	Partida Benasques
PD CAVES	Partida Caves
PD COLLETS	Partida Collets
PD COMES	Partida Comes
PD CUADRETES	Partida Cuadretes
PD DANZAS	Partida Danzas
PD DONVALLS	Partida Donvalls
PD ERMITA	Partida Ermita
PD FONDOS	Partida Fondos
PD LLANTIES	Partida Llanties
PD NOFRE	Partida Nofre
PD PLA	Partida Pla
PD PLA CARNISE	Partida Pla Carnise
PD PRATS	Partida Prats
PD SERRAES	Partida Serraes
PD VENTORRILLO	Partida Ventorrillo
PZ IGLESIA	Plaza de la Iglesia
PZ SAN ANTONIO	Plaça de Sant Antoni
CL SAN RAMON	Plaça de Sant Ramon
PZ MERCAT	Plaça del Mercat
PZ DEL MESTRE MODESTO	Plaça del Mestre Modesto
PL POLIGONO 1	Polígon Poligono 1
PL POLIGONO 10	Polígon Poligono 10
PL POLIGONO 11	Polígon Poligono 11
PL POLIGONO 12	Polígon Poligono 12
PL POLIGONO 13	Polígon Poligono 13
PL POLIGONO 14	Polígon Poligono 14
PL POLIGONO 15	Polígon Poligono 15
PL POLIGONO 16	Polígon Poligono 16
PL POLIGONO 17	Polígon Poligono 17
PL POLIGONO 18	Polígon Poligono 18
PL POLIGONO 19	Polígon Poligono 19
PL POLIGONO 2	Polígon Poligono 2
PL POLIGONO 20	Polígon Poligono 20
PL POLIGONO 21	Polígon Poligono 21
PL POLIGONO 22	Polígon Poligono 22
PL POLIGONO 3	Polígon Poligono 3
PL POLIGONO 4	Polígon Poligono 4
PL POLIGONO 5	Polígon Poligono 5
PL POLIGONO 6	Polígon Poligono 6
PL POLIGONO 7	Polígon Poligono 7
PL POLIGONO 8	Polígon Poligono 8
PL POLIGONO 9	Polígon Poligono 9
TR MAR DEL	Travessera Mar del
